project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,remarks
2003592,L26C14,L26,-119.882728,34.420364,2021-05-20 00:00:00,2021-05-25 00:00:00,None,,Other,Log,2028496,C14,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H8C11,H8,-119.881253,34.421972,2021-04-29 00:00:00,2021-05-04 00:00:00,None,,Other,Boulder,2028214,C11,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H40C8,H40,-119.87943,34.420427,2021-05-13 00:00:00,2021-05-18 00:00:00,None,,Other,Constructed Hibernacula,2028039,C8,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H39C10,H39,-119.878562,34.419965,2021-04-29 00:00:00,2021-05-04 00:00:00,None,,Other,Constructed Hibernacula,2028072,C10,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H9C12,H9,-119.88181,34.421872,2021-04-22 00:00:00,2021-04-27 00:00:00,None,,Other,Constructed Hibernacula,2028303,C12,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H17C5,H17,-119.880326,34.42077,2021-04-22 00:00:00,2021-04-27 00:00:00,None,,Other,Constructed Hibernacula,2028314,C5,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H39C9,H39,-119.878562,34.419965,2021-04-29 00:00:00,2021-05-04 00:00:00,None,,Other,Constructed Hibernacula,2028071,C9,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,B29C7,B29,-119.8782324,34.419928,2021-05-20 00:00:00,2021-05-25 00:00:00,None,,Other,Boulder,2028036,C7,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H21C3,H21,-119.877406,34.419903,2021-05-20 00:00:00,2021-05-25 00:00:00,None,,Other,Constructed Hibernacula,2028436,C3,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,H36C5,H36,-119.878198,34.419551,2021-05-20 00:00:00,2021-05-25 00:00:00,None,,Other,Constructed Hibernacula,2028314,C5,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,L26C2,L26,-119.882728,34.420364,2021-05-20 00:00:00,2021-05-25 00:00:00,None,,Other,Log,2028495,C2,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003592,B12C2,B12,-119.879871,34.421174,2021-05-13 00:00:00,2021-05-18 00:00:00,None,,Other,Boulder,2028495,C2,10,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
